StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q5,Q6,Q7_1,Q7_2,Q8,Q9,Q10_1,Q11,Q12,Q13_1,Q13_2,Q14,Q15,Q16_1,Q18,Q17,Q20,Q21,Q30,Q31,Q32
2018-12-04 20:15:31,2018-12-04 20:19:04,IP Address,50.247.240.113,100,212,True,2018-12-04 20:19:04,R_2RQ8Yzui0xXy6hl,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Collaboration with teams,,Completely Satisfied,,Slides were clearly outlined,,Completely Satisfied,"Collaboration ",Directions being more clear...,Completely Satisfied,,The. And talk... whip arounds,,Completely Satisfied,Having TIME to dive into issues.,,Strongly Agree,"Analyzing the data further ",C,E,
2018-12-04 20:14:51,2018-12-04 20:19:10,IP Address,97.33.106.241,100,259,True,2018-12-04 20:19:11,R_2xKxIqdUsEyWueb,,,,,40.71429443359375,-74.0059967041015625,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,I was confused by the stickers.,Completely Satisfied,,,Moderately Satisfied,,"The data samples were well chosen. ","I think the purpose of the stickers on the charts was unclear. The looking at student work protocol directions were not clear. It seemed not all the way thought through. ",Completely Satisfied,It is nice to have stopping points to plan.,"Having our school level data. ",Strongly Agree,,,,
2018-12-04 20:16:11,2018-12-04 20:19:15,IP Address,50.247.240.113,100,183,True,2018-12-04 20:19:15,R_1OxXCMGWmGym2gr,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The collaboration,nothing,Completely Satisfied,Completely Satisfied,online documents,nothing,Completely Satisfied,Collaboration and engagement,nothing,Completely Satisfied,Completely Satisfied,resources,nothing,Completely Satisfied,rolling out actual  meeting,nothing,Strongly Agree,individualize for a school who currently use data,E- relentless focus on evidence,A- assessment and adjustment,
2018-12-04 20:15:22,2018-12-04 20:19:16,IP Address,50.247.240.113,100,234,True,2018-12-04 20:19:17,R_3qDroS7P8NAd54c,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Completely Satisfied,"Working collaboratively to continue to build our knowledge around the Datawise Process.  ","Allow for more time to plan as a team for bringing information back to staff. ",Completely Satisfied,Completely Satisfied,N/A,N/A,Completely Satisfied,N/A,"Differentiating the activities for people who are at varying levels with the Datawise Process. ",Moderately Satisfied,Completely Satisfied,"Looking at trends in student data. ","Using our own school based data to work with our team. ",Completely Satisfied,"Working together to plan our roll out to staff. ",More time to do this.,Strongly Agree,"Further extending our roll out to staff. ",E,E,
2018-12-04 20:14:26,2018-12-04 20:19:18,IP Address,107.77.225.24,100,292,True,2018-12-04 20:19:18,R_3iwKExVNUsdexZ0,,,,,40.646697998046875,-73.957000732421875,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,,,,Moderately Satisfied,Neutral,,"I had a hard time understanding some of the directions or questions posed by Donna.  It was hard for me to started into the work in this section because I wasn’t always clear on what we were supposed to be doing.  ",Neutral,Great having the time,"Google docs were still a struggle.  People had a hard time managing the changes to the google doc and copying and pasting.  Caused a big time ripple. ",Somewhat Agree,"I think we do understand the big picture, but I worry about actually being able to get the work started.",,,
2018-12-04 20:14:39,2018-12-04 20:19:20,IP Address,50.247.240.113,100,280,True,2018-12-04 20:19:20,R_79C9pdeC9TrkICd,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Neutral,Neutral,constructivist dyads,"more focus on challenges to implementation, meetings, calenders",Completely Satisfied,Completely Satisfied,collaborating with others on data and listening to view points and seeing it through differing lenses.,"share the questions that received the most stickers. ",Completely Satisfied,this time is needed to start to think about implementation,more team time for strategic implementation development,Completely Satisfied,Completely Satisfied,collaboration,,Moderately Satisfied,team time is valuable,more team time is always valued,Neutral,I think we have an understanding of how to implement steps 1-2,commitment to action,adjustment,
2018-12-04 20:14:16,2018-12-04 20:19:24,IP Address,50.247.240.113,100,307,True,2018-12-04 20:19:24,R_2Vx695osewW33Uf,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The clear explanation with example about adaptive versus technical,nothing,Moderately Satisfied,Moderately Satisfied,Group share out,Having data available that may have been more specifically appropriate to the grade levels at our school,Completely Satisfied,"Building collaboration with the team, support given by presenters during pop in to our table",nothing,Completely Satisfied,Completely Satisfied,Material presented in a clear and concise manner made this very easy to understand.,nothing,Completely Satisfied,"ability to long term plan how we will deliver this initiative back to our staff, support from staff presenters helped narrow and focus our vision",nothing,Strongly Agree,action planning,Intentional Collaboration,Relentless Focus on Evidence.  A new way of thinking,
2018-12-04 20:16:07,2018-12-04 20:19:25,IP Address,50.247.240.113,100,197,True,2018-12-04 20:19:25,R_vl9DY9UTMHgZgNb,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"I liked the Constructivist Dyad protocol ",Nothing,Completely Satisfied,Completely Satisfied,"Being able to see data and learn how to create a data display. ",Nothing,Completely Satisfied,I liked it,Nothing,Completely Satisfied,Completely Satisfied,"I liked being able to look at specific student data and notice and wonder about it to come up with a learner-centered problem. ",,Completely Satisfied,"This session was probably the best for me, being able to work out some of the meetings coming up!",,Strongly Agree,,,,
2018-12-04 20:16:16,2018-12-04 20:19:30,IP Address,172.58.231.148,100,194,True,2018-12-04 20:19:30,R_322xP8QFtMRT6Ou,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Completely Satisfied,Completely Satisfied,"The amount of team activities balanced ",Nothing at this time,Completely Satisfied,Completely Satisfied,"The resources provided ",Nothing at this time,Completely Satisfied,,Nothing at this time,Completely Satisfied,Completely Satisfied,,"Nothing at this time ",Completely Satisfied,,"Nothing at this time ",Strongly Agree,Preparing for the meeting - item agenda - data,C,C,"None "
2018-12-04 20:14:54,2018-12-04 20:19:34,IP Address,50.247.240.113,100,279,True,2018-12-04 20:19:34,R_4VI03AfoaFmE7UR,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,I really enjoyed the presenters in general. Very knowledgeable and also funny.,,Completely Satisfied,Completely Satisfied,,N/A,Moderately Satisfied,"I enjoyed working collaboratively with the team from my school and looking at data that was actually meaningful to me. It helped me to truly understand the process. ","I think our team would have chosen to bring hard copies of the data we looked at. With only one teammate having access to the ""Live Binder,"" we lost out on time using just one computer to look at data.",Moderately Satisfied,Moderately Satisfied,,"The directions were a little unclear when looking at students work samples. It took our table a great deal of time to figure out that work sample 1 was the entire first page, etc. In the future, it would be more clear to have one work sample per page. ",Completely Satisfied,,,Somewhat Agree,,Intentional COllaboration,"Action, Assessment, and Adjustment",
2018-12-04 20:14:23,2018-12-04 20:19:35,IP Address,50.247.240.113,100,312,True,2018-12-04 20:19:36,R_1DNnxTtVtBHsSln,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"A review was helpful, this is a lot of information to process.",,Completely Satisfied,Completely Satisfied,Showing examples of how to address this with our staff was helpful.,,Completely Satisfied,Having time to meet as a team was very useful.,Having our school data would have been helpful.,Moderately Satisfied,Neutral,Working with student examples/samples was helpful.,At times the directions for the activities were unclear.  Our team often needed clarity on how to complete the assignment required.,Moderately Satisfied,Time to plan.,We would like to know what Hartford's vision/requirement is for all schools moving forward.  Is datawise a requirement for all grade levels?,Somewhat Agree,Implementation in an already busy schedule,Action,Adjustment,
2018-12-04 20:14:43,2018-12-04 20:19:37,IP Address,50.247.240.113,100,294,True,2018-12-04 20:19:37,R_9pfljJRs7i00VsR,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Dissatisfied,glad for team time but there could have been more,"We had trouble finding the correct meeting agenda, space to be working on at any given time. I think it would have been better if the documents were not imbedded so much with a need to copy. i estimate we lost about 20-30 minutes just trying to find it all",Moderately Satisfied,Moderately Satisfied,great to see examples,"if it is possible, have Hartford print data by building so we can practice by looking at actual data",Completely Satisfied,"thanks for this time, very helpful. hard to find time during actual work say",,Strongly Agree,How to get quality training for teachers on assessment literacy,collaboration,would appreciate support on any but I think we are in good shape,
2018-12-04 20:14:29,2018-12-04 20:19:42,IP Address,50.247.240.113,100,312,True,2018-12-04 20:19:42,R_3G81illwFl5oiVH,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The explanation regarding technical and adaptive,none,Completely Satisfied,Moderately Satisfied,Informative,Focus area too broad,Completely Satisfied,"Allowed for our team to practice ",More time,Moderately Satisfied,Moderately Satisfied,"working at our table ",more time,Moderately Satisfied,team time to work together,,Somewhat Agree,none yet,shared commitment,evidence,
2018-12-04 20:16:33,2018-12-04 20:19:58,IP Address,50.247.240.113,100,204,True,2018-12-04 20:19:58,R_2ve2ypdtQ6LwNVu,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,,explanation and examples,asking for some groups to identify adaptive and technical issues that they think they will be faced with,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,the document,Completely Satisfied,,using the protocol,,Moderately Satisfied,,a little more focus with what was expected early on,Somewhat Agree,not sure,intentional collaboration,adjustment or focus on evidence,thank you
2018-12-04 20:14:12,2018-12-04 20:20:03,IP Address,50.247.240.113,100,350,True,2018-12-04 20:20:03,R_ZwrGGaHSrO06W8V,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,All the different activities that supported learning,,Completely Satisfied,Completely Satisfied,Understanding of the process in compiling data and really thinking through what to use,There was not clear district expectations around this step,Completely Satisfied,Overall learned alot about the process and how to build off of what we have done,,Completely Satisfied,Completely Satisfied,,Looking at data that is aligned to the work that I do as a math resource teacher,Completely Satisfied,Having time to work with our team,Need all team members present,Strongly Agree,Overall implementation and staff buyin,Intentional Collaboration,Shared commitment to Action,
2018-12-04 20:14:33,2018-12-04 20:20:07,IP Address,50.247.240.113,100,333,True,2018-12-04 20:20:07,R_2QKyGrMOGAc7SP1,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,,I enjoyed sharing my thoughts about data wise in one minute and listening to my partners thought without responding. It really made ne focus on the individual's perspective.,,Completely Satisfied,,This activity and info really helped transfer it to my work at the building level.,,Completely Satisfied,,,Completely Satisfied,,Asking different types of questions is vital. What? Why? How?,,Completely Satisfied,Created three display charts,,Strongly Agree,,Collaboration,Staying grounded in Evidence,
2018-12-04 20:15:39,2018-12-04 20:20:11,IP Address,50.247.240.113,100,272,True,2018-12-04 20:20:12,R_2zXPjI1zfVBJSk3,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Moderately Satisfied,examples,"more time to work with, more instruction on how to look at data",Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Somewhat Agree,,,,
2018-12-04 20:14:28,2018-12-04 20:20:15,IP Address,107.77.224.99,100,346,True,2018-12-04 20:20:15,R_xFUQQtmqwNqnYvD,,,,,40.82220458984375,-73.92169952392578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The visual you utilized.,,Completely Satisfied,Moderately Satisfied,I enjoyed digging deeper into data and using inquiry based protocols vs. opinions while analyzing the data.,Wish we had the data from our own school.  Makes it more relevant.,Completely Satisfied,Collaborating,"Longer time to work through the process.  Felt like once we were feeling comfortable with it, time was up.",Moderately Satisfied,Moderately Satisfied,Knowing how to properly observe data,Literacy data vs. math data,Completely Satisfied,"Next steps, planning",,Somewhat Agree,We started step 1 & 2 already so heading through step 3 & 4,,,
2018-12-04 20:14:37,2018-12-04 20:20:17,IP Address,50.247.240.113,100,339,True,2018-12-04 20:20:17,R_1DuOtDNxtH0CIsY,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,I truly appreciated looking at both aspects of the challenge.,Focus questions for team discussion,Completely Satisfied,Completely Satisfied,Using multiple examples to explain the challenges.,Nothing,Completely Satisfied,Working together to address the issues and recognizing what I need to learn.,Refining my understanding of the development of focus areas.,Completely Satisfied,Completely Satisfied,"Making me aware of what I know nd need to change, data is not just number wonking",I wish we could have looked at our school data,Completely Satisfied,"Buy in from my team mates, great discussion.",,Strongly Agree,Developing POP and questions,Shared Commitment,"Relentless Focus on Evidence, I jump up the ladder.",
2018-12-04 20:15:32,2018-12-04 20:20:19,IP Address,50.247.240.113,100,286,True,2018-12-04 20:20:19,R_UL6Jm8XJm2GRLgd,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,"Doing it in practice with sample material ",,Moderately Dissatisfied,Having time with out team,"The technical aspect was difficult to follow and stopped momentum of our group. I would have like to use our own school data to create an overview ",Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,"Having time to implement. ","Have more of a clear, concrete set of templates to use tom implement. ",Strongly Agree,"How are we doing so far to implement ","Shared commitment to action, assessment and adjustment ","focus on evidence ",
2018-12-04 20:17:45,2018-12-04 20:20:31,IP Address,50.247.240.113,100,165,True,2018-12-04 20:20:31,R_OlJkoteI3nAZvrz,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,I enjoyed working together during the Dyad. I also thought the review was a good place to start .,,Completely Satisfied,Completely Satisfied,"Very informative. Well presented. ",,Completely Satisfied,"I found the team time to be extremely helpful. I feel like a more cohesive team. ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,"Thank you so much for everything. I'd really like feedback about how to use data differently than the district is currently using data ( for evaluative ",,,
2018-12-04 20:14:13,2018-12-04 20:20:39,IP Address,50.247.240.113,100,386,True,2018-12-04 20:20:39,R_1jOku8nFWK0wBQ5,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Good description and activities,more about how to help adaptive v technical challenges,Completely Satisfied,Completely Satisfied,the spread of data and importance of IDing problems,"more time to create chart, still feel uneasy/confused/not confident",Completely Satisfied,liked having time to look at what really impacts our school and brainstorm,"time and structure, our group got loose with structure",Completely Satisfied,Completely Satisfied,great to experience really looking into it and the acticities,would love to be able to look at different types of data besides literacy and math,Moderately Satisfied,being able to set this into action and understand we will have guidance in the meantime.,"not you but our admin left so we couldn't plan, tech problems again and a time check mid way would be nice",Strongly Agree,"working with non-classroom teachers, like specials teachers",E - I have a good handle on what the evidence it,A - we all agree that our building is struggling and sometimes we struggle to stay on task,I strongly believe in the program and hope Hartford continues to support us in it!
2018-12-04 20:13:13,2018-12-04 20:21:07,IP Address,50.247.240.113,100,473,True,2018-12-04 20:21:07,R_3CBmSsypHLawlGX,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"review and readjustment from yesterday, refining of goals and objectives","I feel we still need additional clarity around what the expectations are for school wide implementation from the district.  ",Moderately Dissatisfied,Moderately Dissatisfied,,"This work would have been much more impactful had schools each had their own data to dive deep into and discuss the creation of data overviews/focus areas. ",Neutral,,Having specific data to each school would have been helpful,Moderately Satisfied,Moderately Satisfied,Student work protocol and whiparound protocol were powerful and garnered deeper thought/reflection,I am wondering why we dove into math student work when we have been discussing the district focus on literacy?  Would it have been more impactful to look at literacy student work?,Moderately Satisfied,,,Somewhat Agree,,Relentless focus on Evidence,Shared commitment - it feels as if there is still much uncertainty as to what our drivers are as a district - what the expectations are for guided reading/literacy improvement as well as the expectations for moving forward with the datawise process.,
2018-12-04 20:14:17,2018-12-04 20:21:23,IP Address,50.247.240.113,100,426,True,2018-12-04 20:21:24,R_3dN5gSjmjp9KXhX,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Adaptive and Technical challenges were new concepts for me. I am very familiar with growth mindset, however, the idea of these two ideas as barriers to growth was new.",,Completely Satisfied,Completely Satisfied,Practice with data.,A group discussion after the charting.,Completely Satisfied,The agenda keeps everyone focused. (mostly),,Completely Satisfied,Completely Satisfied,Plenty of collaboration and movement,,Completely Satisfied,Much needed time,More structure,Strongly Agree,,Shared commitment to Action,,
2018-12-04 20:14:45,2018-12-04 20:22:09,IP Address,50.247.240.113,100,444,True,2018-12-04 20:22:09,R_12fBHQ8h1Ku7fYl,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,,I would like to thank Jorge in clarifying the concepts of Adaptive and Technical Challenges!!,Very informative and I obtained new learning.,Completely Satisfied,,Opportunity to discuss data was very productive and clarified some misconceptions.,"Great session, would have liked a few more examples.",Completely Satisfied,The collaboration and ideas discussed!!,"Would like to have more time to collaborative, very productive session.",Completely Satisfied,Completely Satisfied,Important to acknowledge what areas to focus!!,Very informative!!,Completely Satisfied,Collaboration with leadership team was very productive and important to establish next steps.,"Very productive!! ",,More time to reflect and prepare!!,The E (Relentless Focus on Evidence),A (Shared Commitment to Action),Thank you for sharing your knowledge!!
2018-12-04 20:14:33,2018-12-04 20:22:17,IP Address,50.247.240.113,100,464,True,2018-12-04 20:22:17,R_a4utv73sqAFs1Ut,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,It was very helpful to distinguish adaptive versus technical challenges. I felt like my tea was more focused on technical challenges without taking a look at the adaptive. After this was brought up we had more of a balance of the two.,Nothing,Completely Satisfied,Moderately Satisfied,Working through how to identify focus areas.,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,Being engaged in the process of looking at student data to better understand the process.,I would have provided clearer directions as I was often confused of the task.,Completely Satisfied,It was great to start thinking about how to roll out this process to others.,I would have asked folks to bring their PD calendars/academic calendars with them to be better prepared for Day 2 activities.,Somewhat Agree,Rolling this out and how to include teacher meetings outside of our PD cycle and already competing PD calendar.,,,
2018-12-04 20:23:03,2018-12-04 20:23:23,IP Address,50.247.240.113,100,20,True,2018-12-04 20:23:23,R_1DVhYbB2ZWeVl1h,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Neutral,Neutral,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Moderately Dissatisfied,Moderately Dissatisfied,,,Moderately Satisfied,,,,,,,
2018-12-04 20:14:08,2018-12-04 20:23:33,IP Address,50.247.240.113,100,564,True,2018-12-04 20:23:33,R_1pGXV84AYrnP7HM,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Learning about adaptive challanges,Suggestions about what to do for those resistant to adaptive challanges,Completely Satisfied,Completely Satisfied,Practice using data to create a display and then to generate a question,Acess/bring our own student data (as opposed to whole district or sample),Moderately Satisfied,Opportunity to familiarize with sources of data.,Struggled with being unfamiliar with assessments administered for and sometimes by other specific disciplines.,Moderately Satisfied,Moderately Satisfied,Reminder to focus on the why and what first.,Felt too much time was spent on what we were ALREADY doing around an inquiry stance.,Completely Satisfied,Productive. Opportunity to plan implimentation.,?,Strongly Agree,"Fostering buy-in ",A,A.  Teams I have experience with were relatively strong with C and E.,Thanks!
2018-12-04 20:15:28,2018-12-04 20:23:35,IP Address,50.247.240.113,100,487,True,2018-12-04 20:23:36,R_1DHANKgUsERQU2X,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Reviewing and restating what is and how it fits in the process.,,Completely Satisfied,Completely Satisfied,Writing out I wonder questions with team members,,Completely Satisfied,Developing a list Learner Centered problems,,Completely Satisfied,Completely Satisfied,Looking at student work and writing what you notice and what I wonder,,Completely Satisfied,The pace and patience of the staff.  I loved all the Politeness the instructors had for each other and became contagious among the group.,,Strongly Agree,Not sure,Shared Commitment to Action,"Not sure ",
2018-12-04 20:15:05,2018-12-04 20:24:05,IP Address,66.87.177.77,100,540,True,2018-12-04 20:24:05,R_1rGQqU1hI0G9Uqq,,,,,41.5381927490234375,-72.80699920654296875,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Neutral,,,Completely Satisfied,Completely Satisfied,,,Neutral,,,Neutral,,Action,,There needs to be more clarity around roles and expectations for the process and who (staff) are involved/in charge of the process.
2018-12-04 20:15:25,2018-12-04 20:25:49,IP Address,50.247.240.113,100,623,True,2018-12-04 20:25:49,R_1H2f3jqDV6SN168,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,"This was a great opportunity to have teachers and admin think more deeply about the types of assessments they would be using for their work. ",There was some misunderstanding around the technical pieces and clarity of the task but presenters were present to help the team with those aspects.,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,"The team was a little tired at this point so it was hard to keep focused. I noticed that admin checked out - even before this step. But it was especially important for admin to be fully present in the planning that was taking place. It would have been helpful to have more of a presence from central office - both to help keep admin accountable and because it would benefit teachers to have seen them at this meeting, fully involved with the work, working side by side. Not as process observers but as participants.",Neutral,,,,
2018-12-04 20:21:10,2018-12-04 20:27:40,IP Address,50.247.240.113,100,390,True,2018-12-04 20:27:41,R_2f0w1XTFNcVtMbe,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"presentation, participation, opps for movement",more guidance with independent work for some,Completely Satisfied,Completely Satisfied,as above,na,Completely Satisfied,all,na,Completely Satisfied,Completely Satisfied,all,na,Completely Satisfied,all,na,Strongly Agree,na,a,na,na
2018-12-04 20:15:07,2018-12-04 20:29:00,IP Address,50.247.240.113,100,833,True,2018-12-04 20:29:00,R_2Ys1obPRT5Fv2Nx,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The listening time,nothing,Completely Satisfied,Completely Satisfied,The data displays were well presented.,I wish that the data that we were given was specific to our schools. It would have made this session more meaningful and relevant.,Completely Satisfied,I loved the time!!!!,More time,Completely Satisfied,Completely Satisfied,I liked looking at math using the notice and wonder protocol.,nothing,Completely Satisfied,The time!!!!!,"More team time ",Strongly Agree,Step 3......Creating the data overview,A nd C,I will need help with the focus on evidence.,Great session! Great presenters
2018-12-04 20:14:42,2018-12-04 20:29:34,IP Address,50.247.240.113,100,891,True,2018-12-04 20:29:34,R_6DV6fSe0ovaPhgl,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,,Providing,"I think that it would have been helpful to provide a contextual narrative about the curriculum, the lessons, how the instruction was delivered and what the purpose of that particular work was- pre-assessment, reinforcing work, post- assessment.  ",Completely Satisfied,,,Strongly Agree,How to tailor this work to our schools' specific needs.,Commitment to Action,Adjustment,"In our work in schools we use learning targets and make sure that the standards based activities directly link to the activities, and that the authentic activities have significance to the learning needs. For longer days, we check in along the way so that our students or adult learners see the progression and how everything fits together. Today, activities themselves seemed overall to fit with the Data Wise, we started to get a little off track after lunch.  During the  student work analysis protocol our area of the room got a little 'out of it' and seemed like we didn't know where things were headed.  In the future one idea is to keep a list of the activities the length of time they are going to take along with the objectives (sort of like the rolling agenda) and how they all fit up on an easel.  "
2018-12-04 20:16:02,2018-12-04 20:40:28,IP Address,50.247.240.113,100,1465,True,2018-12-04 20:40:28,R_1hLPLmbNUlSolEC,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Completely Satisfied,"Activities were good ",I would have liked to have spent more time in this section's activities,Moderately Satisfied,Completely Satisfied,"working with team, clarifying for each other",more time to brainstorm,Completely Satisfied,opportunity for pre-thinking application,nothing,Completely Satisfied,Completely Satisfied,working through the process - coming up with a learner centered question,more time to come up with more questions,Completely Satisfied,opportunity to prepare for implementation and see the team form and take leadership,another opportunity for such a planning session,Strongly Agree,handling adaptive challenges,Intentional collaboration,Relentless focus on evidence is something we will need to infuse into all data teams. Gleaning the data from our assessments is key.,Teaching the importance of and applying these habits of mind will need to be done relentlessly for a time.
